"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"9295","ANA GABRIELA",NULL,"2281","4201705784","90","7558","GE_RMG","20",NULL,NULL,"2024-06-12",NULL,"HVHV30716401-1","DEFLETOR DO PRIMARIO DI=377 OTEF-245 ITEM-01 - PEÇA 1","HV307164-XX","SIM","1","0"
"9296","ANA GABRIELA",NULL,"2281","4201705784","90","7559","GE_RMG","20",NULL,NULL,"2024-06-12",NULL,"HVHV30716401-2","DEFLETOR DO PRIMARIO DI=377 OTEF-245 ITEM-01 - PEÇA 2","HV307164-XX","SIM","1","0"
"9297","ANA GABRIELA",NULL,"2280","4201705784","80","7554","GE_RMG","6",NULL,NULL,"2024-05-17",NULL,"HVHV307986-04","STEEL TUBE Ø38 B1560 OSKF145 OXIDACAO PT","HV307986-XX VAR.04","SIM","1","0"
"9298","ANA GABRIELA",NULL,"2280","4201705784","80","7555","GE_RMG","6",NULL,NULL,"2024-05-17",NULL,"HVHV307986-04-1","STEEL TUBE Ø38 B1560 OSKF145 OXIDACAO PT POS.1","HV307986-XX POS.1","SIM","1","0"
"9299","ANA GABRIELA",NULL,"2280","4201705784","80","7556","GE_RMG","6",NULL,NULL,"2024-05-17",NULL,"HVHV307986-04-2","STEEL TUBE Ø38 B1560 OSKF145 OXIDACAO PT POS.2","HV307986-XX POS.2","SIM","1","0"
"9300","ANA GABRIELA",NULL,"2279","4201705784","70","7550","GE_RMG","6",NULL,NULL,"2024-04-25",NULL,"HVHV308751-01","TANK S HANDLE BOX TWO WINDOWS OTCF","HV308751-01","SIM","1","0"
"9301","ANA GABRIELA",NULL,"2279","4201705784","70","7551","GE_RMG","6",NULL,NULL,"2024-04-25",NULL,"HVHV308751-01-1","TANK S HANDLE BOX TWO WINDOWS OTCF POS.1","HV308751-01","SIM","1","0"
"9302","ANA GABRIELA",NULL,"2279","4201705784","70","7552","GE_RMG","6",NULL,NULL,"2024-04-25",NULL,"HVHV308751-01.2","TANK S HANDLE BOX TWO WINDOWS OTCF POS.2","HV308751-01","SIM","1","0"
"9303","ANA GABRIELA",NULL,"2279","4201705784","70","7553","GE_RMG","6",NULL,NULL,"2024-04-25",NULL,"HVHV308751-01.3","TANK S HANDLE BOX TWO WINDOWS OTCF POS.3","HV308751-01","SIM","1","0"
"9304","ANA GABRIELA",NULL,"2278","4201705784","60","7549","GE_RMG","200",NULL,NULL,"2024-04-25",NULL,"HVRML-W-022577","PLACA AL FIXAÇÃO VIROLA OSKF","RML-W-022577","SIM","1","0"
"9305","ANA GABRIELA",NULL,"2277","4201705784","50","7548","GE_RMG","1",NULL,NULL,"2024-07-09",NULL,"HVCK-000282-02","PLACA FIXACAO TUBO/PEDESTAL OSKF MOD.02","CK-000282","SIM","1","0"
"9306","ANA GABRIELA",NULL,"2276","4201705784","40","7545","GE_RMG","4",NULL,NULL,"2024-04-24",NULL,"HVHV307986-02","STEEL TUBE Ø38 B1300 OSKF145 BLACK OXIDE","HV307986-XX","SIM","1","0"
"9307","ANA GABRIELA",NULL,"2276","4201705784","40","7546","GE_RMG","4",NULL,NULL,"2024-04-24",NULL,"HVHV307986-02-1","STEEL TUBE Ø38 B1300 OSKF145 BLACK OXIDE POS.1","HV307986-XX POS.1","SIM","1","0"
"9308","ANA GABRIELA",NULL,"2276","4201705784","40","7547","GE_RMG","4",NULL,NULL,"2024-04-24",NULL,"HVHV307986-02-2","STEEL TUBE Ø38 B1300 OSKF145 BLACK OXIDE POS.2","HV307986-XX POS.2","SIM","1","0"
"9309","ANA GABRIELA",NULL,"2275","4201705784","30","7542","GE_RMG","12",NULL,NULL,"2024-04-18",NULL,"HVHV307986-02","STEEL TUBE Ø38 B1300 OSKF145 BLACK OXIDE","HV307986-XX","SIM","1","0"
"9310","ANA GABRIELA",NULL,"2275","4201705784","30","7543","GE_RMG","12",NULL,NULL,"2024-04-18",NULL,"HVHV307986-02-1","STEEL TUBE Ø38 B1300 OSKF145 BLACK OXIDE POS.1","HV307986-XX POS.1","SIM","1","0"
"9311","ANA GABRIELA",NULL,"2275","4201705784","30","7544","GE_RMG","12",NULL,NULL,"2024-04-18",NULL,"HVHV307986-02-2","STEEL TUBE Ø38 B1300 OSKF145 BLACK OXIDE POS.2","HV307986-XX POS.2","SIM","1","0"
"9312","ANA GABRIELA",NULL,"2274","4201705784","20","7539","GE_RMG","5",NULL,NULL,"2024-04-27",NULL,"HVHV307986-01","TUBO ACO Ø38 B1140 OSKF123 OXIDACAO PT","HV307986-XX VAR.01","SIM","1","0"
"9313","ANA GABRIELA",NULL,"2274","4201705784","20","7540","GE_RMG","5",NULL,NULL,"2024-04-27",NULL,"HVHV307986-01-1","TUBO ACO Ø38 B1140 OSKF123 OXIDACAO PT POS.1","HV307986-XX VAR.01","SIM","1","0"
"9314","ANA GABRIELA",NULL,"2274","420170584","20","7541","GE_RMG","5",NULL,NULL,"2024-04-27",NULL,"HVHV307986-01-2","TUBO ACO Ø38 B1140 OSKF123 OXIDACAO PT POS.2","HV307986-XX VAR.01","SIM","1","0"
"9315","ANA GABRIELA",NULL,"2273","4201705784","10","7538","GE_RMG","1",NULL,NULL,"2024-05-17",NULL,"HVCK-000282-01","PLACA FIXACAO TUBO/PEDESTAL OSKF MOD.01","CK-000282","SIM","1","0"
"9316","ANA GABRIELA","056/24","2288","4201709174","10","7537","GE_RMG","2",NULL,NULL,"2024-03-20",NULL,"HVHV304208-02","DISPOSITIVO RETIRADA DE OLEO-ZSUB MANG.1MT","4201030-101","SIM","0","0"
"9317","ANA GABRIELA",NULL,"2284","4201709174","40","7533","GE_RMG","7",NULL,NULL,"2024-04-29",NULL,"HVCK-000282-01","PLACA FIXACAO TUBO/PEDESTAL OSKF MOD.01","CK-000282","SIM","1","0"
